role,skills
Plumber,plumbing,troubleshooting,problem solving,attention to detail,communication
Mechanic,mechanical systems,troubleshooting,problem solving,attention to detail,communication
Welder,welding,attention to detail,problem solving,blueprint reading,physical fitness
Painter,painting,creativity,attention to detail,problem solving,time management
Sculptor,sculpting,creativity,attention to detail,problem solving,time management
Potter,ceramics,creativity,attention to detail,problem solving,time management
Gardener,gardening,plant care,creativity,attention to detail,problem solving
Farmer,farming,plant care,problem solving,organization,physical fitness
Fisherman,fishing,problem solving,physical fitness,attention to detail,teamwork
Miner,mining,problem solving,physical fitness,attention to detail,teamwork
Construction Worker,construction,problem solving,physical fitness,attention to detail,teamwork
Driver,driving,problem solving,attention to detail,time management,communication
Taxi Driver,driving,customer service,communication,problem solving,time management
Bus Driver,driving,customer service,communication,problem solving,time management
Delivery Driver,driving,organization,time management,problem solving,communication
Cleaner,cleaning,attention to detail,time management,organization,problem solving
Janitor,cleaning,attention to detail,time management,organization,problem solving
Receptionist,customer service,communication,organization,time management,problem solving
Secretary,organization,communication,time management,problem solving,attention to detail
Office Manager,office management,leadership,communication,organization,problem solving
Data Entry Clerk,data entry,attention to detail,organization,time management,problem solving
Cashier,cash handling,customer service,communication,attention to detail,problem solving
Bank Teller,banking,customer service,communication,attention to detail,problem solving
Real Estate Agent,sales,negotiation,communication,customer service,market knowledge
Insurance Agent,insurance,customer service,communication,negotiation,problem solving
Loan Officer,loan processing,customer service,communication,attention to detail,problem solving
Financial Planner,financial planning,communication,problem solving,analytical skills,customer service
Investment Banker,financial analysis,communication,problem solving,negotiation,attention to detail
Stockbroker,stock trading,communication,problem solving,analytical skills,negotiation
Trader,trading,communication,problem solving,analytical skills,negotiation
Entrepreneur,business strategy,leadership,problem solving,communication,creativity
Consultant,consulting,problem solving,communication,analytical skills,organization
Advisor,advising,problem solving,communication,analytical skills,organization
Mentor,mentoring,communication,leadership,problem solving,empathy
Volunteer,volunteering,empathy,communication,problem solving,organization
Activist,advocacy,communication,problem solving,leadership,organization
Philanthropist,charity,leadership,communication,problem solving,organization
